operation,k,consistency,throughput
write,1,strong,116.93276999056842
read,1,strong,426.2797067273247
write,1,eventual,133.8081700725262
read,1,eventual,430.6855394781742
write,3,strong,130.01405282632743
read,3,strong,512.3906559493327
write,3,eventual,130.67403753333483
read,3,eventual,350.2497994879364
write,5,strong,117.115872865422
read,5,strong,395.18909411264355
write,5,eventual,116.02251387737012
read,5,eventual,380.7169406650517
